food_id,wikipedia_id,food_group,food_subgroup,ncbi_taxonomy_id,db,rank,matched_taxid,kingdom,phylum,class,order,family,genus,species,taxon,taxrank,kraken_raw_reads,reads,sample_id,lineage,taxid_lineage,relative_abundance,total_reads,total_raw_reads,bacteria_reads,human_reads
197,Broad_bean,Pulses,Beans,3906,genbank,species,3906,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia faba,Vicia faba,species,8,10,NE_P10_T1_S27,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Vicia;s__Vicia faba,2759;35493;3398;72025;3803;3904;3906,1.48452971583132e-05,673614,262288,667643,809
96,Lathyrus sativus,Pulses,Peas,3860,genbank,species,3860,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus sativus,Lathyrus sativus,species,5,5,NE_P10_T1_S27,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Lathyrus;s__Lathyrus sativus,2759;35493;3398;72025;3803;3853;3860,7.42264857915661e-06,673614,262288,667643,809
199,Vigna_mungo,Pulses,Beans,3915,genbank,species,3915,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Vigna mungo,Vigna mungo,species,3,8,NE_P10_T1_S27,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Vigna;s__Vigna mungo,2759;35493;3398;72025;3803;3913;3915,1.18762377266506e-05,673614,262288,667643,809
16,Mr. Peanut,Nuts,Nuts,3818,genbank,species,3818,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis hypogaea,Arachis hypogaea,species,3,3,NE_P10_T1_S27,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Arachis;s__Arachis hypogaea,2759;35493;3398;72025;3803;3817;3818,4.45358914749397e-06,673614,262288,667643,809
107,Matricaria chamomilla,Herbs and Spices,Herbs,127986,genbank,species,98504,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Matricaria,Matricaria chamomilla,Matricaria chamomilla,species,3,3,NE_P10_T1_S27,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asterales;f__Asteraceae;g__Matricaria;s__Matricaria chamomilla,2759;35493;3398;4209;4210;56016;98504,4.45358914749397e-06,673614,262288,667643,809
392,Jerusalem artichoke,Vegetables,Tubers,4233,genbank,species,4233,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus tuberosus,Helianthus tuberosus,species,6,15,NE_P10_T1_S27,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asterales;f__Asteraceae;g__Helianthus;s__Helianthus tuberosus,2759;35493;3398;4209;4210;4231;4233,2.22679457374698e-05,673614,262288,667643,809
219,Ginseng,Herbs and Spices,Spices,4054,genbank,species,4054,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Panax,Panax ginseng,Panax ginseng,species,3,6,NE_P10_T1_S27,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Apiales;f__Araliaceae;g__Panax;s__Panax ginseng,2759;35493;3398;4036;4050;4053;4054,8.90717829498793e-06,673614,262288,667643,809
166,Sambucus nigra,Fruits,Berries,4202,genbank,species,4202,Eukaryota,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,Sambucus nigra,Sambucus nigra,species,6,8,NE_P10_T1_S27,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Dipsacales;f__Adoxaceae;g__Sambucus;s__Sambucus nigra,2759;35493;3398;4199;4206;4201;4202,1.18762377266506e-05,673614,262288,667643,809
8,Garlic,Herbs and Spices,Herbs,4682,genbank,species,4682,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium sativum,Allium sativum,species,9,9,NE_P10_T1_S27,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;s__Allium sativum,2759;35493;3398;73496;4668;4678;4682,1.33607674424819e-05,673614,262288,667643,809
880,Garlic,Herbs and Spices,Herbs,4682,genbank,species,4682,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium sativum,Allium sativum,species,9,9,NE_P10_T1_S27,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;s__Allium sativum,2759;35493;3398;73496;4668;4678;4682,1.33607674424819e-05,673614,262288,667643,809
