"","X","Value","Std.Error","DF","t.value","p.value","GeneFamily","Group","FDR","BaselineGroup","BaselineLinear"
"610","DayGroupEarly428",0.070340432515547,0.0441246968799225,148,1.5941284017648,0.113040636465004,"2.6.1.13","Early",0.249020049251059,0.369935007833088,0.380936790860217
"611","DayGroupEarly705",0.0415261113258633,0.0260457141067633,178,1.59435487756814,0.112630636342581,"3.2.1.64","Early",0.249020049251059,0.120464856046095,0.137899572664969
"612","DayGroupEarly781",0.0609300616461508,0.0383599704911621,158,1.58837613444434,0.114200421720352,"3.4.23.43","Early",0.251115890826687,0.247744646278437,0.24367710038043
"613","DayGroupEarly967",0.0844074301719992,0.0533175145749594,178,1.58310886853757,0.115171781769658,"4.2.1.17","Early",0.252790522827755,0.598113829934779,0.609566621357312
"614","DayGroupEarly158",0.112061783118092,0.0708254182424012,165,1.58222550461415,0.11551303428571,"1.3.5.1","Early",0.253078556935055,0.616932383414421,0.642271328986398
"615","DayGroupEarly1144",0.259669525112798,0.164942517588544,178,1.57430315063187,0.117193090492707,"6.2.1.30","Early",0.256293419317083,2.62675864769187,2.7505227427682
"616","DayGroupLate232",-0.218911787921326,0.0881468467064935,178,-2.48348972312358,0.0139353761884484,"2.1.1.148","Late",0.258340435493543,1.44810446641957,1.51745339768118
"617","DayGroupEarly1022",0.295695415910441,0.188562541106429,178,1.56815565899456,0.118620789927128,"4.3.2.10","Early",0.258945746127155,6.18202744715533,6.22784190476811
"618","DayGroupLate1200",-0.0136885443915263,0.00551486942945666,146,-2.48211577202744,0.0141936576776174,"7.2.4.1","Late",0.259141780326197,0.036327829304385,0.0372761581449173
"619","DayGroupEarly104",0.180515417538775,0.1152676580013,178,1.56605435270265,0.11911194116113,"1.17.1.8","Early",0.259547719889984,2.76008803911852,2.84282780972342
"620","DayGroupEarly324",0.146543747320447,0.0938140051613765,178,1.56206684778426,0.12004838282636,"2.3.1.31","Early",0.261116067338925,2.85663467357403,2.90864097607935
"621","DayGroupEarly922",0.186560868766257,0.11960991768966,178,1.55974414471472,0.120596529517656,"4.1.1.49","Early",0.261835708232028,4.16455895847501,4.20144457217044
"622","DayGroupEarly1160",0.0108289019428625,0.00693857232714176,125,1.56068156852713,0.12112715986295,"6.3.2.49","Early",0.262514797904414,0.0511659652586261,0.0515303097326465
"623","DayGroupEarly82",0.249266312348326,0.160630157252759,178,1.55180270387269,0.122485606526749,"1.11.1.15","Early",0.263216622170981,2.52817856177935,2.64975812403212
"624","DayGroupEarly332",0.0648686097824602,0.0418016113425533,172,1.55182079587504,0.122543174305328,"2.3.1.57","Early",0.263216622170981,0.4449781857143,0.465329435235907
"625","DayGroupEarly441",0.159283932518158,0.102638120455319,178,1.55189837666112,0.122462710315199,"2.6.1.83","Early",0.263216622170981,2.67533313140794,2.73330958095611
"626","DayGroupEarly641",0.15620130941758,0.100521115184117,157,1.55391540505174,0.122218106355001,"3.1.3.2","Early",0.263216622170981,0.77747724939523,0.822115388718464
"627","DayGroupEarly901",0.162553548706494,0.104576884764898,178,1.55439272332442,0.121866957856625,"3.6.5.n1","Early",0.263216622170981,4.29087983753666,4.36195401145999
"628","DayGroupEarly1101",-0.00709865918378813,0.0045743047833588,142,-1.55185531353592,0.12292276901715,"5.4.99.21","Early",0.263562164885526,0.0284935072205228,0.0287825984413176
"629","DayGroupEarly1166",0.163729529310619,0.105989928742727,178,1.54476497203847,0.12417913126342,"6.3.3.1","Early",0.265783042935028,2.89318681140663,2.93389091576392
"630","DayGroupEarly1060",-0.0076898533203845,0.00499475421160984,166,-1.53958593247895,0.125565348250673,"5.1.3.8","Early",0.26827348340791,0.0397065093862967,0.0404831154501444
