"","X","Value","Std.Error","DF","t.value","p.value","GeneFamily","Group","FDR","BaselineGroup","BaselineLinear"
"6257","DayGroupLate229",-0.00267609685153446,0.0075577576535598,150,-0.354086089314333,0.723771608490737,"K00641","Late",0.854814189884144,0.0249883792914844,0.024688818782893
"6258","DayGroupEarly1867",0.0220580529167072,0.0623719158283376,140,0.353653605533237,0.724130505335247,"K04080","Early",0.976411427454097,0.180328229887821,0.215193264110796
"6259","DayGroupLate2565",0.0102008880044506,0.0288405848458701,93,0.353699068828397,0.724365001121055,"K07663","Late",0.855258646813592,0.0779415871259113,0.0758398739266324
"6260","DayGroupEarly305",0.0127712169397013,0.0361920902386903,133,0.352873151439275,0.724742164935915,"K00840","Early",0.976901857628295,0.0512620819175675,0.058039918254631
"6261","DayGroupLate3313",0.00668224297445259,0.0189430340660979,114,0.352754630073316,0.724923774486276,"K13650","Late",0.855661974678229,0.034891228929264,0.0356878555404653
"6262","DayGroupLate2839",0.00180749728059444,0.00513533327254088,139,0.351972731791197,0.72539175323677,"K09740","Late",0.855957923855308,0.0411548640293203,0.0374711997514929
"6263","DayGroupEarly2289",0.0129590023390166,0.0368306486904083,165,0.351853763096806,0.725396887532525,"K06968","Early",0.976982589825152,0.0639097512326416,0.0775532397102299
"6264","DayGroupEarly1197",0.0329249967323424,0.0936642806457655,140,0.351521375121252,0.725725732537193,"K02686","Early",0.976982589825152,0.142015885491243,0.154597687350963
"6265","DayGroupEarly378",-0.0285784925796819,0.0813377884293019,179,-0.35135566298956,0.725734763329339,"K00971","Early",0.976982589825152,0.774472225420808,0.773336577336536
"6266","DayGroupEarly3430",0.0113125079569864,0.0322106521134459,179,0.351203940769151,0.725848381255854,"K15555","Early",0.976982589825152,0.0533367309140264,0.0596097934635015
"6267","DayGroupEarly1802",-0.0238131315633332,0.0678896989271629,179,-0.350762073475708,0.726179310391144,"K03924","Early",0.976982589825152,0.708557399608315,0.687066497076837
"6268","DayGroupEarly2727",-0.0238216659177248,0.0679921607121229,179,-0.350359007100615,0.72648122518281,"K08369","Early",0.976982589825152,0.181789433398718,0.216790795021634
"6269","DayGroupEarly1575",0.00990067717886985,0.0282554738185515,148,0.350398554363276,0.726537814260837,"K03583","Early",0.976982589825152,0.0336053577935331,0.0395118075446669
"6270","DayGroupLate903",-0.016676449407081,0.047611621737325,179,-0.350260058333774,0.726555348798933,"K02058","Late",0.857074273732873,0.45503656875218,0.48343608663562
"6271","DayGroupEarly1564",-0.0300602869436013,0.0860834184224369,179,-0.349199503161998,0.727349984405347,"K03572","Early",0.977741023049154,1.32406972452859,1.28109558590247
"6272","DayGroupEarly3374",-0.0084426546304604,0.0242342674440041,179,-0.348376721102383,0.727966669014006,"K14260","Early",0.978033797588733,0.160389344911224,0.158657763112413
"6273","DayGroupEarly1135",0.034467052515659,0.0991488779640127,179,0.347629274515534,0.72852704283247,"K02519","Early",0.978033797588733,1.25760493845718,1.23331538358988
"6274","DayGroupEarly1621",0.0127001443674824,0.0365292445207882,150,0.347670600202392,0.728574955410435,"K03633","Early",0.978033797588733,0.0660229968457416,0.0810281632240138
"6275","DayGroupLate917",0.00801680897609614,0.0230615328105207,154,0.34762689201816,0.728595071478351,"K02077","Late",0.858861569673489,0.104908481095076,0.116485824097929
"6276","DayGroupEarly3200",0.0126165039159187,0.0362840170988774,128,0.347715190452521,0.728625220956505,"K12262","Early",0.978033797588733,0.0462187365683616,0.0518236428078354
"6277","DayGroupLate518",-0.0114980400605083,0.0330963620967977,179,-0.347410994201712,0.728690719033344,"K01305","Late",0.858861569673489,0.279397428410156,0.285770419682764
"6278","DayGroupLate1537",-0.0318852760723428,0.0918466087555791,179,-0.347157902772387,0.728880513758566,"K03544","Late",0.858861569673489,1.98306130370395,1.96293520275061
"6279","DayGroupLate1013",-0.0229164465001244,0.0660272909269219,179,-0.347075371083875,0.728942408372626,"K02341","Late",0.858861569673489,0.941293615272212,0.97185136373379
"6280","DayGroupEarly1505",0.0285367492199124,0.0822283927656508,179,0.347042527041013,0.728967040247947,"K03488","Early",0.978033797588733,0.445476111282852,0.477195550154946
"6281","DayGroupEarly457",0.0425800936287556,0.122708352491213,156,0.347002406635725,0.729057173481754,"K01179","Early",0.978033797588733,0.608566695441369,0.598640436653702
"6282","DayGroupLate2621",-0.00445062678400962,0.0128295433798407,119,-0.346904535277768,0.729275749880231,"K07771","Late",0.858997445299883,0.0343182351897359,0.0326798655718659
"6283","DayGroupLate1959",0.00314677594204832,0.00909291489868279,160,0.346068997357951,0.729745501523681,"K05367","Late",0.859135422039001,0.0443282448316116,0.0490192098875604
"6284","DayGroupLate3086",-0.012953560549154,0.037449570864097,179,-0.34589343082627,0.729828999381862,"K11145","Late",0.859135422039001,0.394821965450222,0.391369246043864
"6285","DayGroupLate2130",-0.0076797275627718,0.0222231823721812,179,-0.345572809247393,0.730069565272195,"K06179","Late",0.859161913731316,0.152774081917507,0.158715750374587
"6286","DayGroupEarly1079",0.0191573793120396,0.0556171783882702,169,0.344450759049652,0.730935568444154,"K02431","Early",0.979879940437614,0.189184767424203,0.216116858120128
"6287","DayGroupLate3666",0.0134011701937845,0.0389640468996653,179,0.34393681509247,0.731297486234865,"K18979","Late",0.860349983805724,0.115126604195537,0.119523299329139
"6288","DayGroupLate2359",0.00132627525677819,0.00385966751831765,115,0.343624224232736,0.731756347778316,"K07104","Late",0.860567982444671,0.00817081848176003,0.0082024781783016
"6289","DayGroupLate1740",0.0108805775685693,0.031711789589535,179,0.343108279583184,0.731919621617283,"K03778","Late",0.860567982444671,0.337145473537869,0.32667169192287
"6290","DayGroupEarly3666",-0.0174084126224784,0.0508590051327042,179,-0.3422877143793,0.732535947412179,"K18979","Early",0.979879940437614,0.115126604195537,0.119523299329139
