"","GeneFamily","RPK","Sample_ID","RPKG"
"85","UniRef90_P76440|g__Klebsiella.s__Klebsiella_pneumoniae",29.9903359633,"GO_Pt18_C2D1",0.0171955458895743
"86","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",19.1956124314,"GO_Pt18_C2D1",0.0110061799523202
"87","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",1.8281535649,"GO_Pt18_C2D1",0.00104820761450942
"88","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",88.3057750022,"GO_Pt18_C2D1",0.0506318438120513
"89","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",48.5347985348,"GO_Pt18_C3D1",0.0197822562703641
"90","UniRef90_P76440|g__Klebsiella.s__Klebsiella_pneumoniae",42.1154095225,"GO_Pt18_C3D1",0.0171657830928886
"91","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",23.7818723609,"GO_Pt18_C3D1",0.00969323264616186
"92","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",1.8315018315,"GO_Pt18_C3D1",0.000746500236616743
"93","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",64.8802926485,"GO_Pt18_C3D1",0.0264445019823988
"94","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",155.7391039781,"GO_Pt18_Final",0.0501030993247756
"95","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",13.6997572716,"GO_Pt18_Final",0.00440737285480218
"96","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",99.5438637172,"GO_Pt18_Final",0.0320244303684714
"97","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",148.607240667,"GO_Pt19_Baseline",0.0724792839788092
"98","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",141.9835683405,"GO_Pt19_C1D3",0.0796523706985926
