"","Value","Std.Error","DF","t-value","p-value","Taxa","Group","FDR"
"DaysLinear41",-0.0136951326967182,0.0195502404242016,15,-0.700509681700117,0.494332378705693,"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Bacteroidaceae;  g__Bacteroides;  s__Bacteroides_salyersiae","DaysLinear",0.780307657963528
"DaysLinear42",-0.00448347564306427,0.00666956649366918,65,-0.672228944312952,0.503820547526028,"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Bacteroidaceae;  g__Bacteroides;  s__Bacteroides_stercoris","DaysLinear",0.780307657963528
"DaysLinear65",0.00476156431719926,0.00713738242824297,95,0.667130333153723,0.506306099405541,"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Rikenellaceae;  g__Alistipes;  s__Alistipes_shahii","DaysLinear",0.780307657963528
"DaysLinear80",0.00648488773235337,0.00965730636161694,40,0.671500674155645,0.505761429521731,"d__Bacteria;  p__Desulfobacterota;  c__Desulfovibrionia;  o__Desulfovibrionales;  f__Desulfovibrionaceae;  g__Desulfovibrio; NA","DaysLinear",0.780307657963528
"DaysLinear124",0.00444672693276759,0.00641538426980992,163,0.693134930933661,0.489211319656488,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Streptococcus;  s__Streptococcus_salivarius","DaysLinear",0.780307657963528
"DaysLinear138",-0.0186252070854274,0.0269954356416236,13,-0.689939119067583,0.502363921996106,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Christensenellales;  f__Christensenellaceae;  g__Christensenellaceae_R-7_group;  s__uncultured_organism","DaysLinear",0.780307657963528
"DaysLinear176",-0.009116074105241,0.0132373298056116,14,-0.688664121776017,0.502288069976624,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__[Ruminococcus]_gauvreauii_group;  s__uncultured_organism","DaysLinear",0.780307657963528
"DaysLinear314",-0.00639905031748082,0.009538341611947,57,-0.670876613337675,0.505008640239602,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__Oscillospiraceae;  g__UCG-005;  s__uncultured_organism","DaysLinear",0.780307657963528
"DaysLinear345",-0.00575947169830365,0.00846921799996568,58,-0.680047638203077,0.49917980824317,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__Ruminococcaceae;  g__Negativibacillus; NA","DaysLinear",0.780307657963528
"DaysLinear373",-0.00827600678193117,0.0120425321208498,10,-0.687231447579247,0.507561231221647,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Peptostreptococcales-Tissierellales;  f__Anaerovoracaceae;  g__[Eubacterium]_brachy_group;  s__uncultured_Eubacteriaceae","DaysLinear",0.780307657963528
"DaysLinear388",-0.00648328458082669,0.00937536015913183,72,-0.691523789036713,0.491460287491864,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Peptostreptococcales-Tissierellales;  f__Peptostreptococcales-Tissierellales;  g__Anaerococcus; NA","DaysLinear",0.780307657963528
"DaysLinear389",0.00760790477764136,0.0111089506614471,23,0.684844591491805,0.500285952759352,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Peptostreptococcales-Tissierellales;  f__Peptostreptococcales-Tissierellales;  g__Ezakiella;  s__uncultured_bacterium","DaysLinear",0.780307657963528
"DaysLinear14",-0.00953171311916392,0.0142587664218977,17,-0.66848090761384,0.512802037584765,"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia;  o__Coriobacteriales;  f__Atopobiaceae;  g__Olsenella; NA","DaysLinear",0.78279321638381
"DaysLinear232",-0.00369081828431985,0.00560690191404445,118,-0.658263394099136,0.511651151891481,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__Lachnospiraceae_ND3007_group;  s__metagenome","DaysLinear",0.78279321638381
"DaysLinear312",-0.00321754956845083,0.00491955226587593,77,-0.654033008403853,0.515039174036006,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__Oscillospiraceae;  g__UCG-005;  s__metagenome","DaysLinear",0.783439870364628
"DaysLinear266",-0.00461150247112975,0.00706763620418138,35,-0.652481584776744,0.518353326693215,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__uncultured;  s__bacterium_enrichment","DaysLinear",0.785714516250768
"DaysLinear26",-0.0056200708059603,0.00866241770458731,26,-0.648787786230177,0.522165413695685,"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia;  o__Coriobacteriales;  f__Eggerthellaceae;  g__Enterorhabdus;  s__uncultured_bacterium","DaysLinear",0.788725380127748
"DaysLinear33",0.00476564017593898,0.0076220267336294,28,0.625245796490366,0.536872704818396,"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia;  o__Coriobacteriales;  f__uncultured;  g__uncultured;  s__uncultured_bacterium","DaysLinear",0.806835760485599
"DaysLinear156",-0.025373416479287,0.0399134565251352,11,-0.635710827582878,0.537965824262567,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridiales;  f__Clostridiaceae;  g__Clostridium_sensu_stricto_13;  s__Clostridium_subterminale","DaysLinear",0.806835760485599
"DaysLinear167",0.00508045236790633,0.00822194273413829,28,0.617913859556794,0.541625857733388,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__[Eubacterium]_ventriosum_group;  s__uncultured_bacterium","DaysLinear",0.806835760485599
"DaysLinear315",0.00336892138601832,0.00543781491288628,31,0.619535868724552,0.5400905451952,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__Oscillospiraceae;  g__UCG-005;  s__uncultured_rumen","DaysLinear",0.806835760485599
"DaysLinear16",0.00757587612936902,0.0128483971319804,16,0.589635893998967,0.563669235269185,"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia;  o__Coriobacteriales;  f__Coriobacteriaceae;  g__Collinsella;  s__Collinsella_stercoris","DaysLinear",0.823331420860223
"DaysLinear36",0.00839370531011823,0.014291963609587,28,0.587302454680736,0.56170711021677,"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Bacteroidaceae;  g__Bacteroides;  s__Bacteroides_eggerthii","DaysLinear",0.823331420860223
"DaysLinear86",-0.00776710181268665,0.0132934136295437,12,-0.58428196316895,0.569852071382423,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Erysipelotrichales;  f__Erysipelatoclostridiaceae;  g__Erysipelatoclostridium;  s__Clostridiaceae_bacterium","DaysLinear",0.823331420860223
"DaysLinear133",0.00543712205349046,0.00931941898518875,39,0.583418565270176,0.562970535121017,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Christensenellales;  f__Christensenellaceae;  g__Christensenellaceae_R-7_group;  s__human_gut","DaysLinear",0.823331420860223
"DaysLinear199",0.0114573727484101,0.0194745693358668,19,0.58832483280176,0.563243154037788,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__Coprococcus;  s__Coprococcus_eutactus","DaysLinear",0.823331420860223
"DaysLinear290",-0.00321747302108029,0.00557631831283354,52,-0.576988765809062,0.56643671976145,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__Oscillospiraceae;  g__Colidextribacter;  s__uncultured_Clostridia","DaysLinear",0.823331420860223
"DaysLinear348",0.00232390341480286,0.00406375200224137,92,0.57186152440432,0.56881042706871,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__Ruminococcaceae;  g__Phocea;  s__uncultured_bacterium","DaysLinear",0.823331420860223
